Game,Home,Away
169,Coritiba/PR,Internacional/RS
170,Portuguesa/SP,Bahia/BA
171,Botafogo/RJ,Coritiba/PR
172,Flamengo/RJ,Vitória/BA
173,SãoPaulo/SP,Criciuma/SC
174,Bahia/BA,Cruzeiro/MG
175,Internacional/RS,Corinthians/SP
176,Goiás/GO,Grêmio/RS
177,Náutico/PE,VascodaGama/RJ
178,Atlético/MG,Fluminense/RJ
179,Atlético/PR,Santos/SP
180,Portuguesa/SP,PontePreta/SP
181,VascodaGama/RJ,Atlético/PR
182,Fluminense/RJ,Bahia/BA
183,Corinthians/SP,Náutico/PE
184,Vitória/BA,Atlético/MG
185,Grêmio/RS,Portuguesa/SP
186,PontePreta/SP,Internacional/RS
187,Criciuma/SC,Botafogo/RJ
188,Cruzeiro/MG,Flamengo/RJ
189,Coritiba/PR,SãoPaulo/SP
190,Santos/SP,Goiás/GO
191,Botafogo/RJ,Corinthians/SP
192,Flamengo/RJ,Santos/SP
193,SãoPaulo/SP,PontePreta/SP
194,Bahia/BA,Criciuma/SC
195,Internacional/RS,Vitória/BA
196,Goiás/GO,Cruzeiro/MG
197,Náutico/PE,Grêmio/RS
198,Atlético/MG,Coritiba/PR
199,Atlético/PR,Fluminense/RJ
200,Portuguesa/SP,VascodaGama/RJ
201,VascodaGama/RJ,SãoPaulo/SP
202,Fluminense/RJ,Portuguesa/SP
203,Corinthians/SP,Goiás/GO
204,Vitória/BA,Náutico/PE
205,Grêmio/RS,Atlético/MG
206,PontePreta/SP,Flamengo/RJ
207,Criciuma/SC,Internacional/RS
208,Cruzeiro/MG,Atlético/PR
209,Coritiba/PR,Bahia/BA
210,Santos/SP,Botafogo/RJ
211,VascodaGama/RJ,Vitória/BA
212,Flamengo/RJ,Atlético/PR
213,SãoPaulo/SP,Atlético/MG
214,Bahia/BA,Internacional/RS
215,Grêmio/RS,Santos/SP
216,PontePreta/SP,Corinthians/SP
217,Criciuma/SC,Fluminense/RJ
218,Cruzeiro/MG,Botafogo/RJ
219,Coritiba/PR,Goiás/GO
220,Portuguesa/SP,Náutico/PE
221,Botafogo/RJ,Bahia/BA
222,Fluminense/RJ,Coritiba/PR
223,Corinthians/SP,Cruzeiro/MG
224,Vitória/BA,Grêmio/RS
225,Internacional/RS,Portuguesa/SP
226,Goiás/GO,SãoPaulo/SP
227,Náutico/PE,Flamengo/RJ
228,Atlético/MG,VascodaGama/RJ
229,Atlético/PR,PontePreta/SP
230,Santos/SP,Criciuma/SC
231,Botafogo/RJ,PontePreta/SP
232,Flamengo/RJ,Criciuma/SC
233,SãoPaulo/SP,Grêmio/RS
234,Bahia/BA,VascodaGama/RJ
235,Internacional/RS,Cruzeiro/MG
236,Goiás/GO,Fluminense/RJ
237,Náutico/PE,Coritiba/PR
238,Atlético/MG,Santos/SP
239,Atlético/PR,Vitória/BA
240,Portuguesa/SP,Corinthians/SP
241,VascodaGama/RJ,Internacional/RS
242,Fluminense/RJ,Botafogo/RJ
243,Corinthians/SP,Bahia/BA
244,Vitória/BA,Goiás/GO
245,Grêmio/RS,Atlético/PR
246,PontePreta/SP,Náutico/PE
247,Criciuma/SC,Atlético/MG
248,Cruzeiro/MG,Portuguesa/SP
249,Coritiba/PR,Flamengo/RJ
250,Santos/SP,SãoPaulo/SP
251,Botafogo/RJ,Grêmio/RS
252,Flamengo/RJ,VascodaGama/RJ
253,SãoPaulo/SP,Vitória/BA
254,Bahia/BA,PontePreta/SP
255,Internacional/RS,Fluminense/RJ
256,Goiás/GO,Criciuma/SC
257,Náutico/PE,Cruzeiro/MG
258,Atlético/MG,Corinthians/SP
259,Atlético/PR,Coritiba/PR
260,Portuguesa/SP,Santos/SP
261,VascodaGama/RJ,Fluminense/RJ
262,Flamengo/RJ,Internacional/RS
263,Corinthians/SP,Atlético/PR
264,Bahia/BA,Vitória/BA
265,Grêmio/RS,Criciuma/SC
266,PontePreta/SP,Atlético/MG
267,Náutico/PE,Botafogo/RJ
268,Cruzeiro/MG,SãoPaulo/SP
269,Coritiba/PR,Santos/SP
270,Portuguesa/SP,Goiás/GO
271,Botafogo/RJ,Flamengo/RJ
272,Fluminense/RJ,Grêmio/RS
273,SãoPaulo/SP,Corinthians/SP
274,Vitória/BA,Coritiba/PR
275,Internacional/RS,Náutico/PE
276,Goiás/GO,Bahia/BA
277,Criciuma/SC,VascodaGama/RJ
278,Atlético/MG,Cruzeiro/MG
279,Atlético/PR,Portuguesa/SP
280,Santos/SP,PontePreta/SP
281,VascodaGama/RJ,Goiás/GO
282,Flamengo/RJ,Bahia/BA
283,SãoPaulo/SP,Náutico/PE
284,Vitória/BA,Botafogo/RJ
285,Grêmio/RS,Corinthians/SP
286,PontePreta/SP,Coritiba/PR
287,Criciuma/SC,Portuguesa/SP
288,Cruzeiro/MG,Fluminense/RJ
289,Atlético/PR,Atlético/MG
290,Santos/SP,Internacional/RS
291,Botafogo/RJ,VascodaGama/RJ
292,Fluminense/RJ,PontePreta/SP
293,Corinthians/SP,Criciuma/SC
294,Bahia/BA,SãoPaulo/SP
295,Internacional/RS,Grêmio/RS
296,Goiás/GO,Atlético/PR
297,Náutico/PE,Santos/SP
298,Atlético/MG,Flamengo/RJ
299,Coritiba/PR,Cruzeiro/MG
300,Portuguesa/SP,Vitória/BA
301,Botafogo/RJ,Atlético/MG
302,Fluminense/RJ,Vitória/BA
303,Corinthians/SP,Santos/SP
304,Bahia/BA,Atlético/PR
305,Internacional/RS,SãoPaulo/SP
306,PontePreta/SP,VascodaGama/RJ
307,Náutico/PE,Goiás/GO
308,Cruzeiro/MG,Criciuma/SC
309,Coritiba/PR,Grêmio/RS
310,Portuguesa/SP,Flamengo/RJ
311,VascodaGama/RJ,Coritiba/PR
312,Flamengo/RJ,Fluminense/RJ
313,SãoPaulo/SP,Portuguesa/SP
314,Vitória/BA,Corinthians/SP
315,Grêmio/RS,Bahia/BA
316,Goiás/GO,Botafogo/RJ
317,Criciuma/SC,PontePreta/SP
318,Atlético/MG,Náutico/PE
319,Atlético/PR,Internacional/RS
320,Santos/SP,Cruzeiro/MG
321,VascodaGama/RJ,Santos/SP
322,Flamengo/RJ,Goiás/GO
323,Corinthians/SP,Fluminense/RJ
324,Bahia/BA,Atlético/MG
325,Internacional/RS,Botafogo/RJ
326,PontePreta/SP,Vitória/BA
327,Náutico/PE,Criciuma/SC
328,Cruzeiro/MG,Grêmio/RS
329,Atlético/PR,SãoPaulo/SP
330,Portuguesa/SP,Coritiba/PR
331,Botafogo/RJ,Portuguesa/SP
332,Fluminense/RJ,Náutico/PE
333,SãoPaulo/SP,Flamengo/RJ
334,Vitória/BA,Cruzeiro/MG
335,Grêmio/RS,VascodaGama/RJ
336,Goiás/GO,PontePreta/SP
337,Criciuma/SC,Atlético/PR
338,Atlético/MG,Internacional/RS
339,Coritiba/PR,Corinthians/SP
340,Santos/SP,Bahia/BA
341,Botafogo/RJ,Atlético/PR
342,Fluminense/RJ,SãoPaulo/SP
343,Corinthians/SP,VascodaGama/RJ
344,Vitória/BA,Santos/SP
345,Grêmio/RS,Flamengo/RJ
346,Goiás/GO,Internacional/RS
347,Náutico/PE,Bahia/BA
348,Cruzeiro/MG,PontePreta/SP
349,Coritiba/PR,Criciuma/SC
350,Portuguesa/SP,Atlético/MG
351,VascodaGama/RJ,Cruzeiro/MG
352,Flamengo/RJ,Corinthians/SP
353,SãoPaulo/SP,Botafogo/RJ
354,Bahia/BA,Portuguesa/SP
355,Internacional/RS,Coritiba/PR
356,PontePreta/SP,Grêmio/RS
357,Criciuma/SC,Vitória/BA
358,Atlético/MG,Goiás/GO
359,Atlético/PR,Náutico/PE
360,Santos/SP,Fluminense/RJ
361,VascodaGama/RJ,Náutico/PE
362,Fluminense/RJ,Atlético/MG
363,Corinthians/SP,Internacional/RS
364,Vitória/BA,Flamengo/RJ
365,Grêmio/RS,Goiás/GO
366,PontePreta/SP,Portuguesa/SP
367,Criciuma/SC,SãoPaulo/SP
368,Cruzeiro/MG,Bahia/BA
369,Coritiba/PR,Botafogo/RJ
370,Santos/SP,Atlético/PR
